song_id,song_title,artist_band,duration,spotify_url,spotify_uri
0KPpboTnScu9jU8Q9sdMmf,20 Minutes Before Take Off,Various Artists,3:04,https://open.spotify.com/track/0KPpboTnScu9jU8Q9sdMmf,spotify:track:0KPpboTnScu9jU8Q9sdMmf
5lC7vXQfj7apgZzaio0ZPX,Yugyugan na,The Advisors,2:31,https://open.spotify.com/track/5lC7vXQfj7apgZzaio0ZPX,spotify:track:5lC7vXQfj7apgZzaio0ZPX
7jyUQIkaZLekjfeWdcTyX2,Champoy,Various Artists,2:20,https://open.spotify.com/track/7jyUQIkaZLekjfeWdcTyX2,spotify:track:7jyUQIkaZLekjfeWdcTyX2
202UNbI21y2lGNfkfOQQfs,How Long You'Ve Been Waiting,Various Artists,3:22,https://open.spotify.com/track/202UNbI21y2lGNfkfOQQfs,spotify:track:202UNbI21y2lGNfkfOQQfs
6LRnlk3lFipaYCD9TAUKBI,Damdamin KO,Tito,2:50,https://open.spotify.com/track/6LRnlk3lFipaYCD9TAUKBI,spotify:track:6LRnlk3lFipaYCD9TAUKBI
59pXZeeaJ0UASuNXrGvIOL,Banderang Puti,FRED PANOPIO,2:40,https://open.spotify.com/track/59pXZeeaJ0UASuNXrGvIOL,spotify:track:59pXZeeaJ0UASuNXrGvIOL
4LghzhL8ujCBEje7XldwcK,Lumba-Lumba,Various Artists,2:57,https://open.spotify.com/track/4LghzhL8ujCBEje7XldwcK,spotify:track:4LghzhL8ujCBEje7XldwcK
7wPTTbiDWJbUfvx1360C6E,Jackpot Ka Sa Puso Ko,Various Artists,4:12,https://open.spotify.com/track/7wPTTbiDWJbUfvx1360C6E,spotify:track:7wPTTbiDWJbUfvx1360C6E
6aHt6VgcsoE3yJEROnI0gP,Ang Aking Awitin,Various Artists,3:48,https://open.spotify.com/track/6aHt6VgcsoE3yJEROnI0gP,spotify:track:6aHt6VgcsoE3yJEROnI0gP
3NheAehDvuaTxeMjxXkGXd,Badaf Forever,Various Artists,3:13,https://open.spotify.com/track/3NheAehDvuaTxeMjxXkGXd,spotify:track:3NheAehDvuaTxeMjxXkGXd
